,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
57,81.61193919181824,0.2585895145786601,1.0097532272338867,0.00901016352616721,True,20,6,16,8,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 6, 'min_samples_leaf': 16, 'min_samples_split': 8, 'n_estimators': 100}",-109.79426230693176,-104.6972395700566,-104.62101847854284,-106.7709494525782,-103.66742428077394,-105.91017881777665,2.190439889548367,118,-88.86007625669542,-90.27176249594417,-90.36165980618954,-92.30980770234761,-90.91586656277254,-90.54383456478985,1.113491968852282
58,81.69835991859436,0.1649304131798375,1.0238684177398683,0.019297790907325123,True,20,6,16,16,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 6, 'min_samples_leaf': 16, 'min_samples_split': 16, 'n_estimators': 100}",-109.76766958860202,-104.65205694395812,-104.58269633281077,-106.78262763606577,-103.70226014665721,-105.89746212961877,2.1845172772170116,117,-88.82039573311047,-90.19910310408365,-90.24601743650014,-92.28379754537504,-90.79100997811463,-90.46806475943679,1.116927729997487
59,84.36936302185059,1.5803619979284402,1.0341142177581788,0.058454320011781004,True,20,6,16,32,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 6, 'min_samples_leaf': 16, 'min_samples_split': 32, 'n_estimators': 100}",-109.76062885990319,-104.69213274236861,-104.72742112468185,-106.74030673247496,-103.72940465757749,-105.92997882340121,2.1518106617797113,120,-88.87636757945234,-90.2217795860307,-90.35584019236161,-92.29693416676524,-90.84747090771326,-90.51967848646464,1.1029182293523598
60,77.19904813766479,0.5891287948644194,0.8202978134155273,0.03119330337069294,True,20,6,32,4,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 6, 'min_samples_leaf': 32, 'min_samples_split': 4, 'n_estimators': 100}",-110.16998630001906,-105.13720751546234,-104.91544765881842,-108.43001302853578,-105.22110625764228,-106.77475215209559,2.136346633359756,139,-96.4337713458224,-97.78754186824823,-97.93091559353476,-98.8827905112932,-97.92111796647417,-97.79122745707456,0.7836574377590989
61,76.3878246307373,0.2376607103925051,0.8799242973327637,0.03200472834785077,True,20,6,32,8,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 6, 'min_samples_leaf': 32, 'min_samples_split': 8, 'n_estimators': 100}",-110.01548589972936,-105.11869429492114,-105.03393397708591,-108.56612691320925,-105.32223840661739,-106.81129589831262,2.077858188444337,144,-96.28442972383974,-97.81232264071944,-97.92533439804336,-98.87993213935466,-98.06076581964177,-97.79255694431978,0.8422338230803827
62,76.33766670227051,0.4065114430654954,0.8640000343322753,0.04616323882194178,True,20,6,32,16,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 6, 'min_samples_leaf': 32, 'min_samples_split': 16, 'n_estimators': 100}",-110.11884667776027,-105.10344157295013,-104.95307687110927,-108.54317559185851,-105.33002376266035,-106.8097128952677,2.1214711118291456,143,-96.4239301823528,-97.82333669980319,-97.93030023158792,-98.95362517957065,-98.02439246253122,-97.83111695116916,0.81085789185024
63,76.17407221794129,0.47450165747501977,0.8173694610595703,0.04406920675427903,True,20,6,32,32,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 6, 'min_samples_leaf': 32, 'min_samples_split': 32, 'n_estimators': 100}",-110.01680033257651,-105.07321884540096,-104.94191300343431,-108.47969356913498,-105.22075719584058,-106.74647658927748,2.1015765208792714,135,-96.38703314664328,-97.81747875383513,-97.97686029003867,-98.92195364718198,-97.94608114075456,-97.80988139569072,0.813350093615057
64,129.15472016334533,0.815209125584473,1.6122144222259522,0.05550819840692528,True,20,9,4,4,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 9, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 100}",-109.39014877241509,-104.07451971478945,-104.39612109419205,-102.29016968666542,-99.92880520894828,-104.01595289540205,3.1213152083905293,14,-65.95096590517828,-67.66906962047024,-67.63017183550053,-70.7931408927467,-68.46528980235524,-68.1017276112502,1.575513669985184
65,129.48729701042174,0.39440932056059,1.6704246520996093,0.13376774299437236,True,20,9,4,8,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 9, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 100}",-109.41323805179516,-104.07681252950786,-104.38626324039436,-102.32984007631053,-100.1710972400989,-104.07545022762137,3.0620160839619537,16,-66.08038659997848,-67.7323511233996,-67.7327385813285,-70.86580616875499,-68.38350546210614,-68.15895758711353,1.5531621973530332
66,126.06687965393067,0.6407083316582781,1.3746649742126464,0.049378159008540784,True,20,9,4,16,100,"{'bootstrap': True, 'max_depth': 20, 'max_features': 9, 'min_samples_leaf': 4, 'min_samples_split': 16, 'n_estimators': 100}",-109.46245505561579,-104.08456665039238,-104.48978621369133,-103.55436374838155,-101.00444471456102,-104.51912327652842,2.753541557478775,38,-72.95681569082585,-74.40312501850306,-74.35896048064235,-77.50416779055969,-75.28327675006146,-74.90126914611848,1.4996103936044076
