,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15,55.311668157577515,0.342812632935034,0.5072181224822998,0.009637597696408304,0.3,8,11,100,1,"{'colsample_bytree': 0.3, 'max_depth': 8, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 1}",-111.79736414522635,-106.57989141012276,-106.44418485908673,-107.15797714321369,-104.42609281161786,-107.28110207385348,2.4394666446836295,42
16,75.74976677894593,0.4071444859705466,0.8357183456420898,0.030794763447111784,0.3,10,5,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 10, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.8}",-115.85356577650275,-112.43840930235473,-112.33832028022518,-106.86939944990935,-106.41561568896977,-110.78306209959234,3.6127649630958354,96
17,72.0516140460968,0.7523460153109978,0.8022951602935791,0.03785787995939727,0.3,10,5,100,1,"{'colsample_bytree': 0.3, 'max_depth': 10, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 1}",-114.20137025092835,-108.48812256780295,-109.2303847317348,-105.63774401817224,-103.78916050012063,-108.26935641375181,3.554089516252032,76
18,75.91859889030457,0.7184527922086973,0.8523301124572754,0.031652031505807074,0.3,10,7,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 10, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 0.8}",-115.44752769763154,-111.94309744409202,-111.98397384108907,-107.33567612143776,-106.66758909397166,-110.6755728396444,3.265239003931964,95
19,73.88480887413024,4.334098798018803,0.7820959568023682,0.013313369730605212,0.3,10,7,100,1,"{'colsample_bytree': 0.3, 'max_depth': 10, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 1}",-114.22970033852428,-109.00521847893297,-109.156490026706,-105.21329151102688,-103.71838155428745,-108.26461638189554,3.6580046815008793,75
20,75.23075442314148,0.6550377894444832,0.8163151741027832,0.03743576313825372,0.3,10,9,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 10, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 0.8}",-115.82574163105527,-111.8866914723034,-111.53088372463752,-107.20043130026508,-106.60045776654718,-110.60884117896168,3.387728136595392,93
21,71.70834875106812,1.1172689446839366,0.7627820014953614,0.010251549690518452,0.3,10,9,100,1,"{'colsample_bytree': 0.3, 'max_depth': 10, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 1}",-113.68120516472922,-108.7206011600341,-108.37019300578869,-105.19698693911997,-103.6899870045356,-107.93179465484153,3.4450612596039125,73
22,75.16729702949524,0.48119188863808715,0.7832813262939453,0.013262282945236537,0.3,10,11,100,0.8,"{'colsample_bytree': 0.3, 'max_depth': 10, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 0.8}",-115.85639944605825,-111.00648080501041,-111.2920550339015,-107.88263456890697,-107.24824399861883,-110.65716277049918,3.0618918079693858,94
23,71.83859243392945,1.0565398159340966,0.776377534866333,0.02714872269593999,0.3,10,11,100,1,"{'colsample_bytree': 0.3, 'max_depth': 10, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 1}",-113.5202583091697,-108.24357494663158,-108.5565958336884,-105.85881947334668,-104.09769702185434,-108.05538911693813,3.1824412731816727,74
24,55.01059923171997,0.717719468482255,0.33994693756103517,0.02916403096732447,0.4,6,5,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.8}",-110.65000832302972,-105.99137807841544,-105.11186295032627,-108.01528434554966,-105.27570062959924,-107.00884686538407,2.093253914038373,32
